Date,Sampling event,Pasture,Treat,Exclosure,Rep,F1T Crown Tillers,F2T Crown Tillers,F3T Crown Tillers,F1S Stolon Tillers,F2S Stolon Tillers,Total Stolon #,Total Tiller #,Total Length of stolon (cm),F1T CW Bud/core (0.007805m^2),F2T CW Bud/core (0.007805m^2),F3T CW Bud/core (0.007805m^2),Tot CW Buds/core (0.00785 cm^2),F1T ST Bud/core (0.007805m^2),F2T ST Bud/core (0.007805m^2),F3T ST Bud/core (0.007805m^2),Tot ST Buds (0.00785 cm^2),Grand total buds/core (0.00785 mc^2),F1T CW Bud/0.1m2,F2T CW Bud/0.1m2,F3T CW Bud/ (0.1m2),Tot CW Buds/0.1m2,F1T ST Bud/0.1m2,F2T ST Bud/0.1m2,F3T ST Bud/0.1^2,Tot ST Buds/0.1 m2,Grand total buds/0.1 m2,%CWB,%STB,%F1CWB,%F2CWB,%F3CWB,%F1STB,%F2STB,%combF1B,%comF2B,%comF3B,#F1CWT/0.1m2,#F2CWT/0.1m2,#F3CWT/0.1m2,# Tot CWT/0.1m2,#F1STT/0.1m2,#F2STT/0.1m2,# Tot STT/0.1m2,TotTIller/0.1m2,% of CWT,%of STT,%F1CWT,%F2CWT,%F3CWT,%F1STT,%F2STT,%combF1T,%comF2T,%comF3T,# Tot ST/0.1m2,totSTlg cm/0.1m2
 July 2,2,3,CG,2,2,50,6,,,,0,56,0,125,9,,134,,,,0,134,1592.36,114.65,0,1707.01,0,0,,0,1707.01,100,0,93.28,6.72,0,,,93.28,6.72,0,636.94,76.43,0,713.38,0,0,0,713.38,100,0,89.29,10.71,0,,,89.29,10.71,0,0,0
 July 2,2,3,CG,3,3,39,8,,2,,2,49,8.2,117,8,,125,2,,,2,127,1490.45,101.91,0,1592.36,25.48,0,,25.48,1617.83,98.43,1.57,93.6,6.4,0,100,0,93.7,6.3,0,496.82,101.91,0,598.73,25.48,0,25.48,624.2,95.92,4.08,82.98,17.02,0,100,0,83.67,16.33,0,25.48,104.46
 July 2,2,3,CG,4,4,38,7,,,,0,45,0,76,10.5,,86.5,,,,0,86.5,968.15,133.76,0,1101.91,0,0,,0,1101.91,100,0,87.86,12.14,0,,,87.86,12.14,0,484.08,89.17,0,573.25,0,0,0,573.25,100,0,84.44,15.56,0,,,84.44,15.56,0,0,0
 July 2,2,3,CG,5,5,31,2,,3,1,5,37,13.6,77.5,0,,77.5,4.5,2,,6.5,84,987.26,0,0,987.26,57.32,2.55,,59.87,1047.13,94.28,5.72,100,0,0,95.74,4.26,99.76,0.24,0,394.9,25.48,0,420.38,38.22,12.74,50.96,471.34,89.19,10.81,93.94,6.06,0,75,25,91.89,8.11,0,63.69,173.25
 July 2,2,5,CG,1,1,55,5,1,,,0,61,0,110,0,0,110,,,,0,110,1401.27,0,0,1401.27,0,0,,0,1401.27,100,0,100,0,0,,,100,0,0,700.64,63.69,12.74,777.07,0,0,0,777.07,100,0,90.16,8.2,1.64,,,90.16,8.2,1.64,0,0
 July 2,2,5,CG,2,2,60,13,,7,,5,80,27.9,150,13,,163,0,,,0,163,1910.83,165.61,0,2076.43,0,0,,0,2076.43,100,0,92.02,7.98,0,,,92.02,7.98,0,764.33,165.61,0,929.94,89.17,0,89.17,1019.11,91.25,8.75,82.19,17.81,0,100,0,83.75,16.25,0,63.69,355.41
 July 2,2,5,CG,3,3,23,4,,,,0,27,0,46,0,,46,,,,0,46,585.99,0,0,585.99,0,0,,0,585.99,100,0,100,0,0,,,100,0,0,292.99,50.96,0,343.95,0,0,0,343.95,100,0,85.19,14.81,0,,,85.19,14.81,0,0,0
 July 2,2,5,CG,4,4,51,6,,1,,1,58,4.1,127.5,0,,127.5,2,,,2,129.5,1624.2,0,0,1624.2,25.48,0,,25.48,1649.68,98.46,1.54,100,0,0,100,0,100,0,0,649.68,76.43,0,726.11,12.74,0,12.74,738.85,98.28,1.72,89.47,10.53,0,100,0,89.66,10.34,0,12.74,52.23
 July 2,2,5,CG,5,5,65,9,,,,0,74,0,162.5,4.5,,167,,,,0,167,2070.06,57.32,0,2127.39,0,0,,0,2127.39,100,0,97.31,2.69,0,,,97.31,2.69,0,828.03,114.65,0,942.68,0,0,0,942.68,100,0,87.84,12.16,0,,,87.84,12.16,0,0,0
 July 2,2,6,CG,1,1,16,2,,6,,4,24,22,24,0,,24,0,,,0,24,305.73,0,0,305.73,0,0,,0,305.73,100,0,100,0,0,,,100,0,0,203.82,25.48,0,229.3,76.43,0,76.43,305.73,75,25,88.89,11.11,0,100,0,91.67,8.33,0,50.96,280.25
