Date,Sampling event,Pasture,Treat,Exclosure,Rep,F1T Crown Tillers,F2T Crown Tillers,F3T Crown Tillers,F1S Stolon Tillers,F2S Stolon Tillers,Total Stolon #,Total Tiller #,Total Length of stolon (cm),F1T CW Bud/core (0.007805m^2),F2T CW Bud/core (0.007805m^2),F3T CW Bud/core (0.007805m^2),Tot CW Buds/core (0.00785 cm^2),F1T ST Bud/core (0.007805m^2),F2T ST Bud/core (0.007805m^2),F3T ST Bud/core (0.007805m^2),Tot ST Buds (0.00785 cm^2),Grand total buds/core (0.00785 mc^2),F1T CW Bud/0.1m2,F2T CW Bud/0.1m2,F3T CW Bud/ (0.1m2),Tot CW Buds/0.1m2,F1T ST Bud/0.1m2,F2T ST Bud/0.1m2,F3T ST Bud/0.1^2,Tot ST Buds/0.1 m2,Grand total buds/0.1 m2,%CWB,%STB,%F1CWB,%F2CWB,%F3CWB,%F1STB,%F2STB,%combF1B,%comF2B,%comF3B,#F1CWT/0.1m2,#F2CWT/0.1m2,#F3CWT/0.1m2,# Tot CWT/0.1m2,#F1STT/0.1m2,#F2STT/0.1m2,# Tot STT/0.1m2,TotTIller/0.1m2,% of CWT,%of STT,%F1CWT,%F2CWT,%F3CWT,%F1STT,%F2STT,%combF1T,%comF2T,%comF3T,# Tot ST/0.1m2,totSTlg cm/0.1m2
 July 2,2,5,PBG,1,1,40,6,,21,,10,67,40.8,60,3,,63,10.5,,,10.5,73.5,764.33,38.22,0,802.55,133.76,0,,133.76,936.31,85.71,14.29,95.24,4.76,0,100,0,95.92,4.08,0,509.55,76.43,0,585.99,267.52,0,267.52,853.5,68.66,31.34,86.96,13.04,0,100,0,91.04,8.96,0,127.39,519.75
 July 2,2,5,PBG,2,2,31,5,,9,,4,45,25.3,46.5,2.5,,49,9,,,9,58,592.36,31.85,0,624.2,114.65,0,,114.65,738.85,84.48,15.52,94.9,5.1,0,100,0,95.69,4.31,0,394.9,63.69,0,458.6,114.65,0,114.65,573.25,80,20,86.11,13.89,0,100,0,88.89,11.11,0,50.96,322.29
 July 2,2,5,PBG,3,3,17,1,,1,,1,19,5.6,68,0,,68,0,,,0,68,866.24,0,0,866.24,0,0,,0,866.24,100,0,100,0,0,,,100,0,0,216.56,12.74,0,229.3,12.74,0,12.74,242.04,94.74,5.26,94.44,5.56,0,100,0,94.74,5.26,0,12.74,71.34
 July 2,2,5,PBG,4,4,34,2,,,,2,36,6.6,119,2,,121,,,,0,121,1515.92,25.48,0,1541.4,0,0,,0,1541.4,100,0,98.35,1.65,0,,,98.35,1.65,0,433.12,25.48,0,458.6,0,0,0,458.6,100,0,94.44,5.56,0,,,94.44,5.56,0,25.48,84.08
 July 2,2,5,PBG,5,5,41,2,,2,,2,45,11.9,123,1,,124,0,,,0,124,1566.88,12.74,0,1579.62,0,0,,0,1579.62,100,0,99.19,0.81,0,,,99.19,0.81,0,522.29,25.48,0,547.77,25.48,0,25.48,573.25,95.56,4.44,95.35,4.65,0,100,0,95.56,4.44,0,25.48,151.59
 July 2,2,6,PBG,1,1,36,9,,9,,6,54,23.4,126,0,,126,9,,,9,135,1605.1,0,0,1605.1,114.65,0,,114.65,1719.75,93.33,6.67,100,0,0,100,0,100,0,0,458.6,114.65,0,573.25,114.65,0,114.65,687.9,83.33,16.67,80,20,0,100,0,83.33,16.67,0,76.43,298.09
 July 2,2,6,PBG,2,2,16,0,,16,2,9,32,46.4,64,,,64,16,0,,16,80,815.29,0,0,815.29,203.82,0,,203.82,1019.11,80,20,100,0,0,100,0,100,0,0,203.82,0,0,203.82,203.82,25.48,229.3,433.12,47.06,52.94,100,0,0,88.89,11.11,94.12,5.88,0,114.65,591.08
 July 2,2,6,PBG,3,3,46,6,,1,,2,53,9.2,161,0,,161,0,,,0,161,2050.96,0,0,2050.96,0,0,,0,2050.96,100,0,100,0,0,,,100,0,0,585.99,76.43,0,662.42,12.74,0,12.74,675.16,98.11,1.89,88.46,11.54,0,100,0,88.68,11.32,0,25.48,117.2
 July 2,2,6,PBG,4,4,5,0,,,,0,5,0,7.5,,,7.5,,,,0,7.5,95.54,0,0,95.54,0,0,,0,95.54,100,0,100,0,0,,,100,0,0,63.69,0,0,63.69,0,0,0,63.69,100,0,100,0,0,,,100,0,0,0,0
 July 2,2,6,PBG,5,5,15,5,,7,,3,27,25,37.5,2.5,,40,0,,,0,40,477.71,31.85,0,509.55,0,0,,0,509.55,100,0,93.75,6.25,0,,,93.75,6.25,0,191.08,63.69,0,254.78,89.17,0,89.17,343.95,74.07,25.93,75,25,0,100,0,81.48,18.52,0,38.22,318.47
 July 29,3,3,PBG,1,1,27,12,,,,,39,,27,0,,27,,,,0,27,343.95,0,0,343.95,0,0,,0,343.95,100,0,100,0,0,,,100,0,0,343.95,152.87,0,496.82,0,0,0,496.82,100,0,69.23,30.77,0,,,69.23,30.77,0,0,0
 July 29,3,3,PBG,2,2,22,0,,2,,2,24,9.9,55,,,55,3,,,3,58,700.64,0,0,700.64,38.22,0,,38.22,738.85,94.83,5.17,100,0,0,100,0,100,0,0,280.25,0,0,280.25,25.48,0,25.48,305.73,91.67,8.33,100,0,0,100,0,100,0,0,25.48,126.11
 July 29,3,3,PBG,3,3,23,6,,2,,2,31,11,23,3,,26,0,,,0,26,292.99,38.22,0,331.21,0,0,,0,331.21,100,0,88.46,11.54,0,,,88.46,11.54,0,292.99,76.43,0,369.43,25.48,0,25.48,394.9,93.55,6.45,79.31,20.69,0,100,0,80.65,19.35,0,25.48,140.13
 July 29,3,3,PBG,4,4,38,1,,1,,3,40,11.3,114,2,,116,1,,,1,117,1452.23,25.48,0,1477.71,12.74,0,,12.74,1490.45,99.15,0.85,98.28,1.72,0,100,0,98.29,1.71,0,484.08,12.74,0,496.82,12.74,0,12.74,509.55,97.5,2.5,97.44,2.56,0,100,0,97.5,2.5,0,38.22,143.95
 July 29,3,3,PBG,5,5,29,4,,1,,1,34,4.6,72.5,2,,74.5,0,,,0,74.5,923.57,25.48,0,949.04,0,0,,0,949.04,100,0,97.32,2.68,0,,,97.32,2.68,0,369.43,50.96,0,420.38,12.74,0,12.74,433.12,97.06,2.94,87.88,12.12,0,100,0,88.24,11.76,0,12.74,58.6
 July 29,3,5,PBG,1,1,28,7,,2,,2,37,16.2,70,3.5,,73.5,0,,,0,73.5,891.72,44.59,0,936.31,0,0,,0,936.31,100,0,95.24,4.76,0,,,95.24,4.76,0,356.69,89.17,0,445.86,25.48,0,25.48,471.34,94.59,5.41,80,20,0,100,0,81.08,18.92,0,25.48,206.37
 July 29,3,5,PBG,2,2,4,4,,2,,1,10,1.4,6,0,,6,2,,,2,8,76.43,0,0,76.43,25.48,0,,25.48,101.91,75,25,100,0,0,100,0,100,0,0,50.96,50.96,0,101.91,25.48,0,25.48,127.39,80,20,50,50,0,100,0,60,40,0,12.74,17.83
 July 29,3,5,PBG,3,3,40,3,,4,,4,47,18.3,80,4.5,,84.5,6,,,6,90.5,1019.11,57.32,0,1076.43,76.43,0,,76.43,1152.87,93.37,6.63,94.67,5.33,0,100,0,95.03,4.97,0,509.55,38.22,0,547.77,50.96,0,50.96,598.73,91.49,8.51,93.02,6.98,0,100,0,93.62,6.38,0,50.96,233.12
 July 29,3,5,PBG,4,4,19,2,,2,,2,23,8.2,57,3,,60,2,,,2,62,726.11,38.22,0,764.33,25.48,0,,25.48,789.81,96.77,3.23,95,5,0,100,0,95.16,4.84,0,242.04,25.48,0,267.52,25.48,0,25.48,292.99,91.3,8.7,90.48,9.52,0,100,0,91.3,8.7,0,25.48,104.46
 July 29,3,5,PBG,5,5,16,1,,11,1,7,29,23.1,32,0,,32,0,1,,1,33,407.64,0,0,407.64,0,1.27,,1.27,408.92,99.69,0.31,100,0,0,0,100,99.69,0.31,0,203.82,12.74,0,216.56,140.13,12.74,152.87,369.43,58.62,41.38,94.12,5.88,0,91.67,8.33,93.1,6.9,0,89.17,294.27
 July 29,3,6,PBG,1,1,41,10,,,,,51,,123,5,,128,,,,0,128,1566.88,63.69,0,1630.57,0,0,,0,1630.57,100,0,96.09,3.91,0,,,96.09,3.91,0,522.29,127.39,0,649.68,0,0,0,649.68,100,0,80.39,19.61,0,,,80.39,19.61,0,0,0
 July 29,3,6,PBG,2,2,18,4,,,,,22,,45,0,,45,,,,0,45,573.25,0,0,573.25,0,0,,0,573.25,100,0,100,0,0,,,100,0,0,229.3,50.96,0,280.25,0,0,0,280.25,100,0,81.82,18.18,0,,,81.82,18.18,0,0,0
 July 29,3,6,PBG,3,3,9,0,,1,,2,10,7.7,27,,,27,0,,,0,27,343.95,0,0,343.95,0,0,,0,343.95,100,0,100,0,0,,,100,0,0,114.65,0,0,114.65,12.74,0,12.74,127.39,90,10,100,0,0,100,0,100,0,0,25.48,98.09
 July 29,3,6,PBG,4,4,22,4,,4,,3,30,24.1,55,2,,57,6,,,6,63,700.64,25.48,0,726.11,76.43,0,,76.43,802.55,90.48,9.52,96.49,3.51,0,100,0,96.83,3.17,0,280.25,50.96,0,331.21,50.96,0,50.96,382.17,86.67,13.33,84.62,15.38,0,100,0,86.67,13.33,0,38.22,307.01
 July 29,3,6,PBG,5,5,17,3,,5,,2,25,12.3,34,1.5,,35.5,0,,,0,35.5,433.12,19.11,0,452.23,0,0,,0,452.23,100,0,95.77,4.23,0,,,95.77,4.23,0,216.56,38.22,0,254.78,63.69,0,63.69,318.47,80,20,85,15,0,100,0,88,12,0,25.48,156.69
 June 13,1,3,WPG,1,1,55,7,,,,0,62,0,82.5,7,,89.5,,,,0,89.5,1050.96,89.17,0,1140.13,0,0,,0,1140.13,100,0,92.18,7.82,0,,,92.18,7.82,0,700.64,89.17,0,789.81,0,0,0,789.81,100,0,88.71,11.29,0,,,88.71,11.29,0,0,0
 June 13,1,3,WPG,2,2,34,0,,2,,1,36,4.8,85,,,85,2,,,2,87,1082.8,0,0,1082.8,25.48,0,,25.48,1108.28,97.7,2.3,100,0,0,100,0,100,0,0,433.12,0,0,433.12,25.48,0,25.48,458.6,94.44,5.56,100,0,0,100,0,100,0,0,12.74,61.15
 June 13,1,3,WPG,3,3,22,3,,4,,2,29,10.1,55,3,,58,10,,,10,68,700.64,38.22,0,738.85,127.39,0,,127.39,866.24,85.29,14.71,94.83,5.17,0,100,0,95.59,4.41,0,280.25,38.22,0,318.47,50.96,0,50.96,369.43,86.21,13.79,88,12,0,100,0,89.66,10.34,0,25.48,128.66
 June 13,1,3,WPG,4,4,50,2,,1,,1,53,9.3,150,0,,150,0,,,0,150,1910.83,0,0,1910.83,0,0,,0,1910.83,100,0,100,0,0,,,100,0,0,636.94,25.48,0,662.42,12.74,0,12.74,675.16,98.11,1.89,96.15,3.85,0,100,0,96.23,3.77,0,12.74,118.47
 June 13,1,3,WPG,5,5,44,20,,1,,1,65,6.5,88,10,,98,0,,,0,98,1121.02,127.39,0,1248.41,0,0,,0,1248.41,100,0,89.8,10.2,0,,,89.8,10.2,0,560.51,254.78,0,815.29,12.74,0,12.74,828.03,98.46,1.54,68.75,31.25,0,100,0,69.23,30.77,0,12.74,82.8
 June 13,1,5,WPG,1,1,34,3,,0,,0,37,1.4,85,0,,85,0,,,0,85,1082.8,0,0,1082.8,0,0,,0,1082.8,100,0,100,0,0,,,100,0,0,433.12,38.22,0,471.34,0,0,0,471.34,100,0,91.89,8.11,0,,,91.89,8.11,0,0,17.83
 June 13,1,5,WPG,2,2,64,10,,1,2,0,77,1.2,128,5,,133,1,0,,1,134,1630.57,63.69,0,1694.27,12.74,0,,12.74,1707.01,99.25,0.75,96.24,3.76,0,100,0,96.27,3.73,0,815.29,127.39,0,942.68,12.74,25.48,38.22,980.89,96.1,3.9,86.49,13.51,0,33.33,66.67,84.42,15.58,0,0,15.29
 June 13,1,5,WPG,3,3,64,5,,,,0,69,0,32,5,,37,,,,0,37,407.64,63.69,0,471.34,0,0,,0,471.34,100,0,86.49,13.51,0,,,86.49,13.51,0,815.29,63.69,0,878.98,0,0,0,878.98,100,0,92.75,7.25,0,,,92.75,7.25,0,0,0
 June 13,1,5,WPG,4,4,42,4,,10,1,0,57,0,168,0,,168,15,0,,15,183,2140.13,0,0,2140.13,191.08,0,,191.08,2331.21,91.8,8.2,100,0,0,100,0,100,0,0,535.03,50.96,0,585.99,127.39,12.74,140.13,726.11,80.7,19.3,91.3,8.7,0,90.91,9.09,91.23,8.77,0,0,0
 June 13,1,5,WPG,5,5,37,4,,,,1,41,7.1,55.5,4,,59.5,,,,0,59.5,707.01,50.96,0,757.96,0,0,,0,757.96,100,0,93.28,6.72,0,,,93.28,6.72,0,471.34,50.96,0,522.29,0,0,0,522.29,100,0,90.24,9.76,0,,,90.24,9.76,0,12.74,90.45
 June 13,1,6,WPG,1,1,68,5,,2,2,9,75,45.1,102,2.5,,104.5,1,0,,1,105.5,1299.36,31.85,0,1331.21,12.74,0,,12.74,1343.95,99.05,0.95,97.61,2.39,0,100,0,97.63,2.37,0,866.24,63.69,0,929.94,25.48,25.48,50.96,980.89,94.81,5.19,93.15,6.85,0,50,50,90.91,9.09,0,114.65,574.52
 June 13,1,6,WPG,2,2,30,2,,,,2,32,6,90,2,,92,,,,0,92,1146.5,25.48,0,1171.97,0,0,,0,1171.97,100,0,97.83,2.17,0,,,97.83,2.17,0,382.17,25.48,0,407.64,0,0,0,407.64,100,0,93.75,6.25,0,,,93.75,6.25,0,25.48,76.43
 June 13,1,6,WPG,3,3,48,2,,,,10,50,34.5,96,1,,97,,,,0,97,1222.93,12.74,0,1235.67,0,0,,0,1235.67,100,0,98.97,1.03,0,,,98.97,1.03,0,611.46,25.48,0,636.94,0,0,0,636.94,100,0,96,4,0,,,96,4,0,127.39,439.49
 June 13,1,6,WPG,4,4,43,15,,1,,5,59,19.1,64.5,0,,64.5,0,,,0,64.5,821.66,0,0,821.66,0,0,,0,821.66,100,0,100,0,0,,,100,0,0,547.77,191.08,0,738.85,12.74,0,12.74,751.59,98.31,1.69,74.14,25.86,0,100,0,74.58,25.42,0,63.69,243.31
 June 13,1,6,WPG,5,5,30,0,,,,0,30,0,45,,,45,,,,0,45,573.25,0,0,573.25,0,0,,0,573.25,100,0,100,0,0,,,100,0,0,382.17,0,0,382.17,0,0,0,382.17,100,0,100,0,0,,,100,0,0,0,0
 July 2,2,3,WPG,1,1,23,4,,,,0,27,0,23,2,,25,,,,0,25,292.99,25.48,0,318.47,0,0,,0,318.47,100,0,92,8,0,,,92,8,0,292.99,50.96,0,343.95,0,0,0,343.95,100,0,85.19,14.81,0,,,85.19,14.81,0,0,0
 July 2,2,3,WPG,2,2,13,1,,2,,4,16,16.4,26,0,,26,3,,,3,29,331.21,0,0,331.21,38.22,0,,38.22,369.43,89.66,10.34,100,0,0,100,0,100,0,0,165.61,12.74,0,178.34,25.48,0,25.48,203.82,87.5,12.5,92.86,7.14,0,100,0,93.75,6.25,0,50.96,208.92
 July 2,2,3,WPG,3,3,36,3,,3,,5,42,34.9,54,3,,57,1.5,,,1.5,58.5,687.9,38.22,0,726.11,19.11,0,,19.11,745.22,97.44,2.56,94.74,5.26,0,100,0,94.87,5.13,0,458.6,38.22,0,496.82,38.22,0,38.22,535.03,92.86,7.14,92.31,7.69,0,100,0,92.86,7.14,0,63.69,444.59
 July 2,2,3,WPG,4,4,15,6,1,13,3,3,38,14.9,37.5,0,1,38.5,6.5,0,,6.5,45,477.71,0,12.74,490.45,82.8,0,,82.8,573.25,85.56,14.44,97.4,0,2.6,100,0,97.78,0,2.22,191.08,76.43,12.74,280.25,165.61,38.22,203.82,484.08,57.89,42.11,68.18,27.27,4.55,81.25,18.75,73.68,23.68,2.63,38.22,189.81
 July 2,2,3,WPG,5,5,21,2,1,14,1,7,38,43.1,84,0,0,84,0,0,,0,84,1070.06,0,0,1070.06,0,0,,0,1070.06,100,0,100,0,0,,,100,0,0,267.52,25.48,12.74,305.73,178.34,12.74,191.08,496.82,61.54,38.46,87.5,8.33,4.17,93.33,6.67,89.74,7.69,2.56,89.17,549.04
 July 2,2,5,WPG,1,1,43,0,,3,,3,43,14.8,193.5,,,193.5,0,,,0,193.5,2464.97,0,0,2464.97,0,0,,0,2464.97,100,0,100,0,0,,,100,0,0,547.77,0,0,547.77,38.22,0,38.22,585.99,93.48,6.52,100,0,0,100,0,100,0,0,38.22,188.54
 July 2,2,5,WPG,2,2,50,7,,3,,2,60,9.7,125,10.5,,135.5,0,,,0,135.5,1592.36,133.76,0,1726.11,0,0,,0,1726.11,100,0,92.25,7.75,0,,,92.25,7.75,0,636.94,89.17,0,726.11,38.22,0,38.22,764.33,95,5,87.72,12.28,0,100,0,88.33,11.67,0,25.48,123.57
 July 2,2,5,WPG,3,3,45,4,,,,1,49,3.4,112.5,0,,112.5,,,,0,112.5,1433.12,0,0,1433.12,0,0,,0,1433.12,100,0,100,0,0,,,100,0,0,573.25,50.96,0,624.2,0,0,0,624.2,100,0,91.84,8.16,0,,,91.84,8.16,0,12.74,43.31
 July 2,2,5,WPG,4,4,12,3,,5,,2,20,8.3,30,0,,30,5,,,5,35,382.17,0,0,382.17,63.69,0,,63.69,445.86,85.71,14.29,100,0,0,100,0,100,0,0,152.87,38.22,0,191.08,63.69,0,63.69,254.78,75,25,80,20,0,100,0,85,15,0,25.48,105.73
 July 2,2,5,WPG,5,5,28,3,,7,2,4,40,25.1,84,0,,84,0,0,,0,84,1070.06,0,0,1070.06,0,0,,0,1070.06,100,0,100,0,0,,,100,0,0,356.69,38.22,0,394.9,89.17,25.48,114.65,509.55,77.5,22.5,90.32,9.68,0,77.78,22.22,87.5,12.5,0,50.96,319.75
 July 2,2,6,WPG,1,1,55,3,,23,,12,81,46.9,82.5,0,,82.5,57.5,,,57.5,140,1050.96,0,0,1050.96,732.48,0,,732.48,1783.44,58.93,41.07,100,0,0,100,0,100,0,0,700.64,38.22,0,738.85,292.99,0,292.99,1031.85,71.6,28.4,94.83,5.17,0,100,0,96.3,3.7,0,152.87,597.45
 July 2,2,6,WPG,2,2,42,4,,13,1,4,60,20.6,126,2,,128,19.5,0,,19.5,147.5,1605.1,25.48,0,1630.57,248.41,0,,248.41,1878.98,86.78,13.22,98.44,1.56,0,100,0,98.64,1.36,0,535.03,50.96,0,585.99,165.61,12.74,178.34,764.33,76.67,23.33,91.3,8.7,0,92.86,7.14,91.67,8.33,0,50.96,262.42
 July 2,2,6,WPG,3,3,51,3,,2,,3,56,11.5,153,6,,159,6,,,6,165,1949.04,76.43,0,2025.48,76.43,0,,76.43,2101.91,96.36,3.64,96.23,3.77,0,100,0,96.36,3.64,0,649.68,38.22,0,687.9,25.48,0,25.48,713.38,96.43,3.57,94.44,5.56,0,100,0,94.64,5.36,0,38.22,146.5
 July 2,2,6,WPG,4,4,38,3,,3,,1,44,5.3,57,1.5,,58.5,3,,,3,61.5,726.11,19.11,0,745.22,38.22,0,,38.22,783.44,95.12,4.88,97.44,2.56,0,100,0,97.56,2.44,0,484.08,38.22,0,522.29,38.22,0,38.22,560.51,93.18,6.82,92.68,7.32,0,100,0,93.18,6.82,0,12.74,67.52
 July 2,2,6,WPG,5,5,22,1,,,,0,,0,55,0,,55,,,,0,55,700.64,0,0,700.64,0,0,,0,700.64,100,0,100,0,0,,,100,0,0,280.25,12.74,0,292.99,0,0,0,292.99,100,0,95.65,4.35,0,,,95.65,4.35,0,0,0
 July 29,3,3,WPG,1,1,21,1,,,,,22,,31.5,0,,31.5,,,,0,31.5,401.27,0,0,401.27,0,0,,0,401.27,100,0,100,0,0,,,100,0,0,267.52,12.74,0,280.25,0,0,0,280.25,100,0,95.45,4.55,0,,,95.45,4.55,0,0,0
 July 29,3,3,WPG,2,2,34,2,,1,,3,37,11.5,119,2,,121,1,,,1,122,1515.92,25.48,0,1541.4,12.74,0,,12.74,1554.14,99.18,0.82,98.35,1.65,0,100,0,98.36,1.64,0,433.12,25.48,0,458.6,12.74,0,12.74,471.34,97.3,2.7,94.44,5.56,0,100,0,94.59,5.41,0,38.22,146.5
 July 29,3,3,WPG,3,3,15,1,,,,,16,,15,,,15,,,,0,15,191.08,0,0,191.08,0,0,,0,191.08,100,0,100,0,0,,,100,0,0,191.08,12.74,0,203.82,0,0,0,203.82,100,0,93.75,6.25,0,,,93.75,6.25,0,0,0
 July 29,3,3,WPG,4,4,80,4,,,,1,84,5,120,6,,126,,,,0,126,1528.66,76.43,0,1605.1,0,0,,0,1605.1,100,0,95.24,4.76,0,,,95.24,4.76,0,1019.11,50.96,0,1070.06,0,0,0,1070.06,100,0,95.24,4.76,0,,,95.24,4.76,0,12.74,63.69
 July 29,3,3,WPG,5,5,13,1,,,,,14,,6.5,0,,6.5,,,,0,6.5,82.8,0,0,82.8,0,0,,0,82.8,100,0,100,0,0,,,100,0,0,165.61,12.74,0,178.34,0,0,0,178.34,100,0,92.86,7.14,0,,,92.86,7.14,0,0,0
 July 29,3,5,WPG,1,1,67,6,,,,,73,,100.5,0,,100.5,,,,0,100.5,1280.25,0,0,1280.25,0,0,,0,1280.25,100,0,100,0,0,,,100,0,0,853.5,76.43,0,929.94,0,0,0,929.94,100,0,91.78,8.22,0,,,91.78,8.22,0,0,0
 July 29,3,5,WPG,2,2,30,1,,,,,31,,90,0,,90,,,,0,90,1146.5,0,0,1146.5,0,0,,0,1146.5,100,0,100,0,0,,,100,0,0,382.17,12.74,0,394.9,0,0,0,394.9,100,0,96.77,3.23,0,,,96.77,3.23,0,0,0
 July 29,3,5,WPG,3,3,35,13,,,,3,48,12.4,52.5,13,,65.5,,,,0,65.5,668.79,165.61,0,834.39,0,0,,0,834.39,100,0,80.15,19.85,0,,,80.15,19.85,0,445.86,165.61,0,611.46,0,0,0,611.46,100,0,72.92,27.08,0,,,72.92,27.08,0,38.22,157.96
 July 29,3,5,WPG,4,4,32,12,,2,1,1,47,3,144,12,,156,3,1,,4,160,1834.39,152.87,0,1987.26,38.22,1.27,,39.49,2026.75,98.05,1.95,92.31,7.69,0,96.77,3.23,92.39,7.61,0,407.64,152.87,0,560.51,25.48,12.74,38.22,598.73,93.62,6.38,72.73,27.27,0,66.67,33.33,72.34,27.66,0,12.74,38.22
 July 29,3,5,WPG,5,5,34,1,,2,,2,37,7.8,102,0,,102,5,,,5,107,1299.36,0,0,1299.36,63.69,0,,63.69,1363.06,95.33,4.67,100,0,0,100,0,100,0,0,433.12,12.74,0,445.86,25.48,0,25.48,471.34,94.59,5.41,97.14,2.86,0,100,0,97.3,2.7,0,25.48,99.36
 July 29,3,6,WPG,1,1,1,2,,7,,4,10,23,5,2,,7,3.5,,,3.5,10.5,63.69,25.48,0,89.17,44.59,0,,44.59,133.76,66.67,33.33,71.43,28.57,0,100,0,80.95,19.05,0,12.74,25.48,0,38.22,89.17,0,89.17,127.39,30,70,33.33,66.67,0,100,0,80,20,0,50.96,292.99
 July 29,3,6,WPG,2,2,16,1,,,,1,17,3.8,48,2,,50,,,,0,50,611.46,25.48,0,636.94,0,0,,0,636.94,100,0,96,4,0,,,96,4,0,203.82,12.74,0,216.56,0,0,0,216.56,100,0,94.12,5.88,0,,,94.12,5.88,0,12.74,48.41
 July 29,3,6,WPG,3,3,36,5,,5,1,6,47,27.7,90,2.5,,92.5,2.5,0,,2.5,95,1146.5,31.85,0,1178.34,31.85,0,,31.85,1210.19,97.37,2.63,97.3,2.7,0,100,0,97.37,2.63,0,458.6,63.69,0,522.29,63.69,12.74,76.43,598.73,87.23,12.77,87.8,12.2,0,83.33,16.67,87.23,12.77,0,76.43,352.87
 July 29,3,6,WPG,4,4,31,1,,,,,32,,77.5,2,,79.5,,,,0,79.5,987.26,25.48,0,1012.74,0,0,,0,1012.74,100,0,97.48,2.52,0,,,97.48,2.52,0,394.9,12.74,0,407.64,0,0,0,407.64,100,0,96.88,3.13,0,,,96.88,3.13,0,0,0
 July 29,3,6,WPG,5,5,25,2,,,,,27,,50,3,,53,,,,0,53,636.94,38.22,0,675.16,0,0,,0,675.16,100,0,94.34,5.66,0,,,94.34,5.66,0,318.47,25.48,0,343.95,0,0,0,343.95,100,0,92.59,7.41,0,,,92.59,7.41,0,0,0
